Data from https://lasp.colorado.edu/lisird/data/cls_radio_flux_f107/
time (yyyy-MM-dd'T'HH:mm:ss.SSS),adjusted_f107 (solar flux unit (SFU)),adjusted_f107_c (solar flux unit (SFU)),adjusted_f107_p (solar flux unit (SFU)),adjusted_f107_f
2001-03-19T00:00:00.000,145.7,145.7,6.6,0
2001-03-20T00:00:00.000,152.1,152.1,6.6,0
2001-03-21T00:00:00.000,158.2,158.2,6.6,0
2001-03-22T00:00:00.000,181.8,181.8,6.6,0
2001-03-23T00:00:00.000,178.9,178.9,6.6,0
2001-03-24T00:00:00.000,217.5,181.6,36.0,4
2001-03-25T00:00:00.000,215.7,215.7,6.7,0
2001-03-26T00:00:00.000,262.6,219.4,43.2,4
2001-03-27T00:00:00.000,272.4,272.4,6.8,0
2001-03-28T00:00:00.000,272.6,272.6,6.9,0
2001-03-29T00:00:00.000,261.0,261.0,7.0,0
